Time,Radioactivity,WindSpeed,WindDirection,Temperature,Pressure,Humidity,ActualPower
2017/1/2 0:00,-1,-0.811320755,340,-0.486868687,0.393939394,-0.0625,0
2017/1/2 0:15,-1,-0.811320755,342,-0.490909091,0.393939394,-0.0625,0
2017/1/2 0:30,-1,-0.801886792,346,-0.494949495,0.393939394,-0.041666667,0
2017/1/2 0:45,-1,-0.801886792,349,-0.498989899,0.333333333,-0.041666667,0
2017/1/2 1:00,-1,-0.801886792,349,-0.503030303,0.333333333,-0.041666667,0
2017/1/2 1:15,-1,-0.801886792,349,-0.507070707,0.333333333,-0.020833333,0
2017/1/2 1:30,-1,-0.801886792,349,-0.515151515,0.333333333,0,0
2017/1/2 1:45,-1,-0.79245283,347,-0.523232323,0.333333333,0,0
2017/1/2 2:00,-1,-0.801886792,343,-0.527272727,0.333333333,0.020833333,0
2017/1/2 2:15,-1,-0.801886792,341,-0.535353535,0.333333333,0.041666667,0
2017/1/2 2:30,-1,-0.801886792,332,-0.539393939,0.333333333,0.0625,0
2017/1/2 2:45,-1,-0.79245283,324,-0.547474747,0.333333333,0.083333333,0
2017/1/2 3:00,-1,-0.783018868,319,-0.555555556,0.333333333,0.104166667,0
2017/1/2 3:15,-1,-0.773584906,312,-0.563636364,0.333333333,0.125,0
2017/1/2 3:30,-1,-0.764150943,304,-0.571717172,0.333333333,0.145833333,0
2017/1/2 3:45,-1,-0.745283019,297,-0.575757576,0.333333333,0.1875,0
2017/1/2 4:00,-1,-0.726415094,292,-0.583838384,0.333333333,0.208333333,0
2017/1/2 4:15,-1,-0.70754717,289,-0.591919192,0.333333333,0.229166667,0
2017/1/2 4:30,-1,-0.698113208,284,-0.6,0.333333333,0.25,0
2017/1/2 4:45,-1,-0.669811321,282,-0.608080808,0.333333333,0.270833333,0
2017/1/2 5:00,-1,-0.660377358,279,-0.616161616,0.333333333,0.291666667,0
2017/1/2 5:15,-1,-0.650943396,278,-0.624242424,0.333333333,0.291666667,0
2017/1/2 5:30,-1,-0.650943396,276,-0.632323232,0.333333333,0.291666667,0
2017/1/2 5:45,-1,-0.650943396,275,-0.64040404,0.333333333,0.3125,0
2017/1/2 6:00,-1,-0.650943396,275,-0.648484848,0.333333333,0.3125,0
2017/1/2 6:15,-1,-0.650943396,273,-0.652525253,0.333333333,0.3125,0
2017/1/2 6:30,-1,-0.669811321,272,-0.656565657,0.333333333,0.3125,0
2017/1/2 6:45,-1,-0.679245283,272,-0.656565657,0.393939394,0.291666667,0
2017/1/2 7:00,-1,-0.688679245,272,-0.660606061,0.393939394,0.291666667,0
